index,word,count
21370,yisra,339
8664,get,338
10692,islamic,338
14233,official,338
6967,eleazar,338
16996,river,338
849,1976,337
4372,cardoso,337
12590,menahem,337
5412,copy,337
16924,rich,336
14357,opposed,336
8449,fundamental,336
5906,defined,336
15190,plot,335
19090,taking,335
7843,familiar,335
3379,available,335
21107,write,334
848,1975,334
12510,medical,334
14857,perception,334
8339,frankfurt,333
14469,ottoman,333
19694,tr,333
10133,includes,333
6660,drama,333
14569,pa,333
16058,quote,333
5436,corpus,333
5288,contained,332
21408,yom,332
17855,shema,331
11062,justice,331
12031,lower,331
21405,yohanan,331
12087,luzzatto,330
17464,scholarly,330
3447,ay,329
10189,indicate,329
18750,subsequent,329
3135,ashkenaz,329
2335,aggadah,329
850,1977,329
15602,princeton,329
7517,evident,329
16276,really,329
5736,danger,329
16885,revolution,328
21695,אשר,328
11594,leave,328
14335,opening,328
16150,raised,328
842,1970,327
18084,simeon,327
3959,blessing,327
2942,ar,327
4089,boy,327
840,1969,327
16347,recognized,327
9427,herzl,326
16676,representative,326
13494,nd,326
877,1999,326
14871,performance,326
11532,latin,326
19826,trend,326
17779,shalom,325
22152,זה,325
856,1981,325
2523,allusion,325
5889,defense,325
5572,critic,325
5286,contact,324
20976,wine,324
8323,framework,324
18484,st,324
851,1978,324
8867,granted,324
6214,dialogue,324
7817,failure,324
4153,brief,324
6359,disciple,324
14330,op,324
13065,month,324
16523,reject,323
7033,else,323
2927,april,323
19934,turned,323
12014,loss,323
11358,kook,323
9952,imagination,322
9073,halevi,322
21750,בין,322
4254,business,322
872,1994,321
16906,rhetoric,321
17805,share,321
19429,thou,321
8371,frequently,321
8080,fit,321
9414,herod,321
6727,du,320
4703,cit,320
14169,observed,320
6822,eating,320
8217,foreign,320
14183,obvious,319
4161,brill,319
7895,favor,319
14755,patriarch,319
19598,today,319
5860,decree,319
20538,victim,319
16100,rabbinical,318
19665,total,318
20675,von,318
992,2000,318
20881,west,317
16850,reveals,317
6067,derived,317
7562,exception,317
874,1996,317
13852,noble,316
994,2002,316
4873,collective,316
10809,iy,316
15917,purim,316
22685,שם,316
8720,giving,316
7449,ethic,316
4149,bride,315
10011,impact,315
12840,minority,315
8359,freedom,315
7799,fackenheim,315
13961,np,315
20457,venetian,315
773,1912,315
2913,appropriate,314
2953,aramaic,314
845,1972,314
861,1986,313
3150,ask,313
5535,create,313
15061,picture,313
9835,ideology,313
4282,ca,313
7450,ethical,312
2180,addressed,312
871,1993,312
6290,dimension,312
11190,keep,312
7726,expulsion,311
19058,table,311
15528,preserved,311
15788,protagonist,311
22275,לא,311
16082,ra,311
18395,speaks,311
21295,yehuda,311
7416,essence,310
839,1968,310
7546,examination,310
19160,task,310
8771,going,309
16619,renaissance,309
10471,interesting,309
2439,albeck,309
15379,potential,309
876,1998,309
11939,lo,308
17709,servant,308
10501,interpreted,308
8200,forbidden,308
3131,asher,308
6941,eisner,308
875,1997,308
11707,lev,307
12877,mishnaic,307
13086,mordecai,306
10317,inner,306
12355,married,306
15663,produce,305
8036,film,305
3317,au,305
7569,exchange,305
9773,ia,305
13891,norm,305
5362,control,305
859,1984,304
20027,ultimate,304
11826,limit,304
18910,sure,303
15709,project,303
17684,sephardi,302
19681,tov,302
20924,wi,302
3629,battle,302
17294,sake,302
19490,tie,302
18316,someone,302
16149,raise,301
10947,jonah,301
2864,apparent,301
7435,esther,301
8062,fire,301
17701,serious,300
9200,harvard,300
17110,rosh,300
17527,search,299
12553,mekhilta,299
15744,pronunciation,299
5188,connected,299
20471,verb,299
996,2004,299
16987,rite,299
13454,nationalism,298
5657,current,298
19390,thereby,298
14165,observance,298
2666,analogy,298
17137,royal,298
11562,lay,298
15590,primary,298
4613,chief,298
14717,party,297
14463,otherwise,297
17109,rosenzweig,297
19755,transformation,297
13497,ne,296
774,1913,296
6636,dov,296
16907,rhetorical,296
5568,crisis,296
6476,distance,296
20758,wanted,295
4714,civil,295
16672,represent,294
14923,persian,294
15664,produced,294
19958,twentieth,293
6994,eliezer,293
2885,applied,293
13899,northern,293
5514,covenant,293
4825,code,292
15010,philip,292
18459,spoke,291
6325,direction,291
8510,gamaliel,291
11350,kohut,291
4910,command,291
4375,career,291
7561,except,290
18436,sphere,290
15754,property,290
15414,prague,290
4065,boston,289
17013,rm,289
9822,identical,289
12839,minor,289
7200,engaged,289
13296,mystery,288
20189,universal,288
6814,easily,288
18782,success,288
3213,assumed,288
5799,dealing,287
12375,mary,287
17331,samson,287
15522,presentation,287
8521,gaon,287
10893,jeremiah,287
14787,peace,286
11152,karaite,286
11815,lilienblum,286
11720,levinas,286
15064,piece,286
22515,ע,286
17145,rr,285
13677,nin,285
