Id,label,Count,Fname,Mname,Lname
1465,Mendelssohn Berlin,2,Mendelssohn,,Berlin
1445,Meyer Berlin,2,Meyer,,Berlin
3098,Yesod Olam Berlin,1,Yesod,Olam,Berlin
1850,Abraham Berliner,2,Abraham,,Berliner
3183,Hyman Berman,1,Hyman,,Berman
147,Lawrence V. Berman,1,Lawrence,V.,Berman
2758,Lbon Berman,1,Lbon,,Berman
1866,Mona Berman,2,Mona,,Berman
2103,Robert Bernasconi,1,Robert,,Bernasconi
3138,Simon Bernfeld,1,Simon,,Bernfeld
2177,Seth Bernstein,1,Seth,,Bernstein
3167,Simon Bernstein,1,Simon,,Bernstein
825,Mathias Bersohn,2,Mathias,,Bersohn
2800,Katell Berthelot,1,Katell,,Berthelot
2469,Rowland Tappan Berthoff,1,Rowland,Tappan,Berthoff
1238,Helmut Berve,2,Helmut,,Berve
3249,Geoffrey Best,1,Geoffrey,,Best
554,Paolo Bettiolo,2,Paolo,,Bettiolo
2340,Reginald Robert Betts,1,Reginald,Robert,Betts
2549,Otto Betz,1,Otto,,Betz
3262,David Biale,1,David,,Biale
2911,Rachel Biale,1,Rachel,,Biale
380,Abraham Bibago,2,Abraham,,Bibago
1513,Eduard Biberfeld,2,Eduard,,Biberfeld
1720,Elias Bickerman,2,Elias,,Bickerman
1408,Robert Bigler,2,Robert,,Bigler
2352,Abraham Biichler,1,Abraham,,Biichler
1860,Adolph Biichler,1,Adolph,,Biichler
452,Gerald Bildstein,2,Gerald,,Bildstein
83,Yoram Bilu,2,Yoram,,Bilu
2618,Hartmut Binder,1,Hartmut,,Binder
519,Eduard Birnbaum,2,Eduard,,Birnbaum
1582,Nathan Birnbaum,2,Nathan,,Birnbaum
1667,Pierre Birnbaum,2,Pierre,,Birnbaum
1928,Mala Bitanski,2,Mala,,Bitanski
3462,Kaiman Bland,1,Kaiman,,Bland
257,Yuval Blankovsky,2,Yuval,,Blankovsky
841,Joseph Blau,2,Joseph,,Blau
2331,Joshua Blau,1,Joshua,,Blau
1262,Ludwig Blau,2,Ludwig,,Blau
899,Yosef Blau,2,Yosef,,Blau
2497,Joseph Blenkinsopp,1,Joseph,,Blenkinsopp
274,Gerald Blidstein,1,Gerald,,Blidstein
274,Gerald J. Blidstein,1,Gerald,J.,Blidstein
922,Marc Bloch,2,Marc,,Bloch
1938,Philip Bloch,2,Philip,,Bloch
